name,samecase,ispass,bugfreeid,comments,failnum
净资产收益率连续3年大于20%，主营收入增长大于20%,NULL,0,0,NULL,0
资金流入前20,NULL,0,0,NULL,0
每年分红大于2元,NULL,0,0,NULL,0
净利润在100亿以上,NULL,0,0,NULL,0
有易方达基金的庄股,NULL,0,0,NULL,0
每股净资产大于10元,NULL,0,0,NULL,0
今年涨幅前300的股票,NULL,0,0,NULL,0
持股人数逐季度减少5%的股票,NULL,0,0,NULL,0
综合评级在3以上的,NULL,0,0,NULL,0
资产负债率>60% 每股收益>0.3,NULL,0,0,NULL,0
近期新股中签率最低的股票,NULL,0,0,NULL,0
太阳能概念股,NULL,0,0,NULL,0
医改概念资金流入最大的股票,NULL,0,0,NULL,0
金融股,NULL,0,0,NULL,0
业绩预增大于100%且净利润大于1000万,NULL,0,0,NULL,0
2012年新股,NULL,0,0,NULL,0
2012年中报预增50%以上的零售 股票,NULL,0,0,NULL,0
每股净资产超过10元股票,NULL,0,0,NULL,0
中报业绩大于60%,NULL,0,0,NULL,0
上周换手率最高的股票,NULL,0,0,NULL,0
净利润增长200%,NULL,0,0,NULL,0
2012年一季度利润增长100%,NULL,0,0,NULL,0
创一年来新低,NULL,0,0,NULL,0
主营产品包括磷,NULL,0,0,NULL,0
2012年上市 跌破发行价的个股 总市值50亿以下,NULL,0,0,NULL,0
连续4天跌幅大于2%,NULL,0,0,NULL,0
破净股票,NULL,0,0,NULL,0
环保概念利润率增长排名,NULL,0,0,NULL,0
稀土 pe,NULL,0,0,NULL,0
净资产收益率10%以上,NULL,0,0,NULL,0
银行 PE EPS ,NULL,0,0,NULL,0
预测净利润增长100%,NULL,0,0,NULL,0
股本小于3亿利润增长超过50%,NULL,0,0,NULL,0
近三年利润率超过20%,NULL,0,0,NULL,0
6月份除权，每股分红送转大于1的创业板股票,NULL,0,0,NULL,0
净利润增加100%的个股,NULL,0,0,NULL,0
哪些股属迪斯尼概念股,NULL,0,0,NULL,0
每股未分配利润大于5元,NULL,0,0,NULL,0
dde大单净额大于30万,NULL,0,0,NULL,0
1季报营业收入增长20%以上，净利润增长20%以上,NULL,0,0,NULL,0
连续3年净资产收益率大于40%,NULL,0,0,NULL,0
玩具上市公司,NULL,0,0,NULL,0
银行业市现率最低的的公司,NULL,0,0,NULL,0
连续三年净利润大于20%，汽车,NULL,0,0,NULL,0
最近七天股价下跌20%,NULL,0,0,NULL,0
航天军工股票,NULL,0,0,NULL,0
连续3年股息率大于4%，连续3年股息率增长率大于0,NULL,0,0,NULL,0
涨停个股,NULL,0,0,NULL,0
房地产市盈率最低的股票,NULL,0,0,NULL,0
股价小于市净率股票,NULL,0,0,NULL,0
连续5年每股收益增长比l率超过30%以上,NULL,0,0,NULL,0
饮料板块,NULL,0,0,NULL,0
配股的股票,NULL,0,0,NULL,0
次新股全部名单,NULL,0,0,NULL,0
3天涨幅最大的股,NULL,0,0,NULL,0
2012年中报预增150%以上 市盈率低于30的股票,NULL,0,0,NULL,0
5月涨幅最大的,NULL,0,0,NULL,0
5年净资产收益率大于20%,NULL,0,0,NULL,0
股东平均持股大于1000手,NULL,0,0,NULL,0
年复合增长率大于20%小于40%,NULL,0,0,NULL,0
三沙概念股票,NULL,0,0,NULL,0
2012年二季报增速50%以上,NULL,0,0,NULL,0
下跌10%股,NULL,0,0,NULL,0
连续三年净资产收益率大于40%,NULL,0,0,NULL,0
2012中报业绩预增大于100%且净利润大于1000万,NULL,0,0,NULL,0
2010年净资产收益率大于20%,NULL,0,0,NULL,0
流通盘小于2亿股,NULL,0,0,NULL,0
三十日累计涨幅最大,NULL,0,0,NULL,0
2012年中报预增100%以上 市盈率低于30的股票,NULL,0,0,NULL,0
铁路基建,NULL,0,0,NULL,0
每股收益大于五角,NULL,0,0,NULL,0
基金持仓业绩预增100% 股,NULL,0,0,NULL,0
十大股东持股占总股本50%以上毛利率>30市盈率<50净资产收益>1净利润增长率>20主营业务增长率>20,NULL,0,0,NULL,0
每股收益最大股票,NULL,0,0,NULL,0
每股资本公积金大于5元，每股未分配利润大于3元,NULL,0,0,NULL,0
2012中报业绩100%,NULL,0,0,NULL,0
三沙概念股一览,NULL,0,0,NULL,0
最牛逼的股票,NULL,0,0,NULL,0
保障房建筑材料,NULL,0,0,NULL,0
下跌的金融信息股,NULL,0,0,NULL,0
机械行业,NULL,0,0,NULL,0
2012年中期利润预增50%,NULL,0,0,NULL,0
连续4周缩量,NULL,0,0,NULL,0
今天突然放量,NULL,0,0,NULL,0
银行股的市净率,NULL,0,0,NULL,0
连续5年净利润同比增长大于40%,NULL,0,0,NULL,0
近期新股中签率最低的有哪些,NULL,0,0,NULL,0
连续3年ROE大于12%，2011年净利率大于5%,NULL,0,0,NULL,0
市盈率0-20，市净率0-2，净利润为正,NULL,0,0,NULL,0
生产中药的企业,NULL,0,0,NULL,0
今年以来大盘股涨跌幅,NULL,0,0,NULL,0
稀土 eps 2009—2011,NULL,0,0,NULL,0
最近5天跌得最多的股票,NULL,0,0,NULL,0
总股本小于4000万的创业板股票,NULL,0,0,NULL,0
"预盈200%以上,近5日上涨1%以上",NULL,0,0,NULL,0
电力板块  市盈率小于12,NULL,0,0,NULL,0
锂电池概念股,NULL,0,0,NULL,0
